OptimisationFactor                Linesdifference
                 -targetlibinfo  0
                           -tti  0
                          -tbaa  0
                -scoped-noalias  0
      -assumption-cache-tracker  0
          -profile-summary-info  0
                    -forceattrs  0
                    -inferattrs  0
                        -ipsccp  0
      -called-value-propagation  0
                     -globalopt  26
                       -domtree  0
                       -mem2reg  0
                   -deadargelim  0
                       -basicaa  0
                            -aa  0
                         -loops  0
              -lazy-branch-prob  0
               -lazy-block-freq  0
            -opt-remark-emitter  0
                   -instcombine  0
                   -simplifycfg  0
                       -basiccg  0
                    -globals-aa  0
                      -prune-eh  0
                 -always-inline  0
                 -functionattrs  0
                          -sroa  0
                     -memoryssa  0
              -early-cse-memssa  0
         -speculative-execution  0
               -lazy-value-info  0
                -jump-threading  0
        -correlated-propagation  0
           -libcalls-shrinkwrap  0
                   -branch-prob  0
                    -block-freq  0
                 -pgo-memop-opt  0
                  -tailcallelim  11
                   -reassociate  0
                 -loop-simplify  0
            -lcssa-verification  0
                         -lcssa  0
              -scalar-evolution  0
                   -loop-rotate  0
                          -licm  0
                 -loop-unswitch  0
                       -indvars  0
                    -loop-idiom  0
                 -loop-deletion  0
                   -loop-unroll  0
                        -memdep  0
                     -memcpyopt  0
                          -sccp  0
                 -demanded-bits  0
                          -bdce  0
                           -dse  0
                   -postdomtree  0
                          -adce  0
                       -barrier  0
             -rpo-functionattrs  0
                     -globaldce  0
                     -float2int  0
                 -loop-accesses  0
               -loop-distribute  0
                -loop-vectorize  0
                -loop-load-elim  0
    -alignment-from-assumptions  0
         -strip-dead-prototypes  0
                     -loop-sink  0
                  -instsimplify  0
                 -div-rem-pairs  0
                        -verify  0
                 -ee-instrument  0
                     -early-cse  0
                  -lower-expect  0
