OptimisationFactor                Factor     Solve      Total     MFLOPS       Unit      Cray-Ratio
                 -fauto-inc-dec   0.695098   0.002112    0.69721    959.061  0.00208537    12.4502
             -fbranch-count-reg   0.694244   0.002098   0.696342    960.256  0.00208278    12.4347
    -fcombine-stack-adjustments    0.69452   0.002098   0.696618    959.876  0.0020836    12.4396
                 -fcompare-elim   0.694088   0.002096   0.696184    960.474  0.0020823    12.4319
              -fcprop-registers   0.695036   0.002107   0.697143    959.153  0.00208517     12.449
                          -fdce   0.695254   0.002094   0.697348    958.871  0.00208579    12.4526
                    -fdefer-pop   0.694243    0.00209   0.696333    960.269  0.00208275    12.4345
                          -fdse   0.694552   0.002094   0.696646    959.837  0.00208369    12.4401
            -fforward-propagate   0.694073   0.002095   0.696168    960.496  0.00208226    12.4316
     -fguess-branch-probability   0.695908   0.002101   0.698009    957.963  0.00208776    12.4644
                -fif-conversion   0.694812   0.002101   0.696913    959.469  0.00208449    12.4449
               -fif-conversion2   0.694987   0.002092   0.697079    959.241  0.00208498    12.4478
 -finline-functions-called-once   0.701385   0.002117   0.703502    950.483  0.00210419    12.5625
                  -fipa-profile   0.696486   0.002105   0.698591    957.165  0.0020895    12.4748
               -fipa-pure-const   0.694463   0.002097    0.69656    959.956  0.00208343    12.4386
                -fipa-reference   0.694149   0.002091    0.69624    960.397  0.00208247    12.4329
              -fmerge-constants   0.692862   0.002094   0.694956    962.171  0.00207863    12.4099
         -fmove-loop-invariants   0.694472   0.002093   0.696565    959.949  0.00208344    12.4387
           -fomit-frame-pointer   0.699553   0.002119   0.701672    952.962  0.00209872    12.5299
               -freorder-blocks   0.693651   0.002094   0.695745     961.08  0.00208099     12.424
                  -fshrink-wrap   0.694157   0.002096   0.696253    960.379  0.00208251    12.4331
         -fshrink-wrap-separate   0.698444   0.002098   0.700542    954.499  0.00209534    12.5097
             -fsplit-wide-types   0.694091   0.002093   0.696184    960.474  0.0020823    12.4319
                 -fssa-backprop   0.695043   0.002097    0.69714    959.157  0.00208516    12.4489
                   -fssa-phiopt   0.694701   0.002095   0.696796     959.63  0.00208414    12.4428
                 -ftree-bit-ccp    0.69378   0.002093   0.695873    960.903  0.00208137    12.4263
                     -ftree-ccp   0.694982    0.00211   0.697092    959.223  0.00208502    12.4481
                      -ftree-ch   0.694635   0.002098   0.696733    959.717  0.00208395    12.4417
           -ftree-coalesce-vars   0.694845   0.002091   0.696936    959.438  0.00208455    12.4453
               -ftree-copy-prop   0.694624   0.002092   0.696716    959.741  0.0020839    12.4414
                     -ftree-dce   0.695517   0.002097   0.697614    958.505  0.00208658    12.4574
          -ftree-dominator-opts   0.693784   0.002098   0.695882    960.891  0.0020814    12.4265
                     -ftree-dse   0.695273   0.002099   0.697372    958.838  0.00208586    12.4531
                -ftree-forwprop   0.694981   0.002104   0.697085    959.233   0.002085    12.4479
                     -ftree-fre   0.694882   0.002242   0.697124    959.179  0.00208512    12.4486
                 -ftree-phiprop   0.693485   0.002095    0.69558    961.308  0.0020805    12.4211
                     -ftree-pta   0.694983   0.002101   0.697084    959.234   0.002085    12.4479
              -ftree-scev-cprop    0.69427     0.0021    0.69637    960.218  0.00208286    12.4352
                    -ftree-sink   0.701622   0.002116   0.703738    950.164  0.0021049    12.5667
                    -ftree-slsr   0.696041   0.002101   0.698142     957.78  0.00208816    12.4668
                     -ftree-sra   0.694605   0.002094   0.696699    959.764  0.00208385    12.4411
                     -ftree-ter   0.699512   0.002136   0.701648    952.995  0.00209865    12.5294
