OptimisationFactor                Factor     Solve      Total     MFLOPS       Unit      Cray-Ratio
                 -fauto-inc-dec    1.20501   0.002736    1.20775    553.647  0.00361241     21.567
             -fbranch-count-reg    1.01459   0.006981    1.02157    654.547  0.00305555    18.2424
    -fcombine-stack-adjustments    1.20505   0.002766    1.20781    553.618  0.0036126    21.5681
                 -fcompare-elim   0.910211   0.002735   0.912946    732.427  0.00273065    16.3026
              -fcprop-registers   0.940286   0.002726   0.943012    709.075  0.00282057    16.8395
                          -fdce    1.20639   0.002745    1.20914    553.012  0.00361656    21.5917
                    -fdefer-pop   0.907388   0.002744   0.910132    734.692  0.00272223    16.2524
                          -fdse    1.20452    0.00274    1.20726    553.871  0.00361095    21.5582
            -fforward-propagate   0.907464   0.002855   0.910319    734.541  0.00272279    16.2557
     -fguess-branch-probability    0.90873   0.002783   0.911513    733.579  0.00272636     16.277
                -fif-conversion   0.933361    0.00276   0.936121    714.295  0.00279996    16.7164
               -fif-conversion2   0.908342   0.002743   0.911085    733.923  0.00272508    16.2694
 -finline-functions-called-once    0.90724   0.002749   0.909989    734.807  0.0027218    16.2498
                  -fipa-profile    0.98903   0.002804   0.991834    674.172  0.0029666    17.7113
               -fipa-pure-const    1.20383   0.002729    1.20656    554.191  0.00360887    21.5458
                -fipa-reference    1.20392    0.00273    1.20665    554.152  0.00360912    21.5473
              -fmerge-constants   0.989646   0.002738   0.992384    673.798  0.00296825    17.7211
         -fmove-loop-invariants   0.907243   0.002768   0.910011     734.79  0.00272187    16.2502
           -fomit-frame-pointer    1.22366   0.002673    1.22633    545.257   0.003668    21.8988
               -freorder-blocks    1.20598   0.002732    1.20871    553.207  0.00361528    21.5841
                  -fshrink-wrap    1.20516   0.002788    1.20794    553.557   0.003613    21.5704
         -fshrink-wrap-separate   0.988652   0.002757   0.991409    674.461  0.00296533    17.7037
             -fsplit-wide-types   0.923419   0.002756   0.926175    721.966  0.00277021    16.5388
                 -fssa-backprop    1.20595   0.002774    1.20872      553.2  0.00361533    21.5844
                   -fssa-phiopt    1.20475   0.002747    1.20749    553.764  0.00361164    21.5624
                 -ftree-bit-ccp    1.20544   0.002728    1.20817    553.454  0.00361367    21.5745
                     -ftree-ccp   0.908469   0.002864   0.911333    733.724  0.00272582    16.2738
                      -ftree-ch   0.908693   0.002732   0.911425     733.65  0.0027261    16.2754
           -ftree-coalesce-vars     1.2175   0.002787    1.22029    547.959  0.00364991    21.7908
               -ftree-copy-prop   0.906711   0.002733   0.909444    735.248  0.00272017    16.2401
                     -ftree-dce    1.20465   0.002755    1.20741    553.804  0.00361139    21.5608
          -ftree-dominator-opts   0.935748   0.007007   0.942755    709.269  0.00281981    16.8349
                     -ftree-dse    1.20828   0.002749    1.21103    552.148  0.00362222    21.6255
                -ftree-forwprop    1.20411   0.002787     1.2069    554.038  0.00360986    21.5517
                     -ftree-fre    1.20364   0.002772    1.20641    554.261  0.00360841    21.5431
                 -ftree-phiprop    0.90911   0.002737   0.911847     733.31  0.00272736     16.283
                     -ftree-pta   0.959129   0.002751    0.96188    695.166  0.00287701    17.1764
              -ftree-scev-cprop   0.908703   0.002772   0.911475    733.609  0.00272625    16.2763
                    -ftree-sink   0.916202   0.002798      0.919    727.602  0.00274875    16.4107
                    -ftree-slsr   0.990135   0.002745    0.99288    673.462  0.00296973      17.73
                     -ftree-sra   0.939167   0.002748   0.941915    709.901  0.00281729    16.8199
                     -ftree-ter    1.20763   0.002754    1.21038    552.443  0.00362028    21.6139
                 -fauto-inc-dec   0.907166   0.002746   0.909912     734.87  0.00272157    16.2484
             -fbranch-count-reg   0.923354   0.002722   0.926076    722.043  0.00276992    16.5371
    -fcombine-stack-adjustments   0.923805   0.002745    0.92655    721.674  0.00277134    16.5455
                 -fcompare-elim   0.970396   0.002746   0.973142    687.121  0.00291069    17.3775
              -fcprop-registers   0.907372   0.002734   0.910106    734.713  0.00272215    16.2519
                          -fdce   0.906767   0.002765   0.909532    735.177  0.00272043    16.2416
                    -fdefer-pop   0.908731   0.002741   0.911472    733.612  0.00272624    16.2763
                          -fdse   0.907918   0.002581   0.910499    734.396  0.00272333    16.2589
            -fforward-propagate   0.955819   0.002759   0.958578    697.561  0.00286713    17.1175
     -fguess-branch-probability   0.905869   0.002745   0.908614    735.919  0.00271769    16.2252
                -fif-conversion   0.908161   0.002713   0.910874    734.093  0.00272445    16.2656
               -fif-conversion2   0.905562   0.002736   0.908298    736.175  0.00271674    16.2196
 -finline-functions-called-once   0.907896   0.002718   0.910614    734.303  0.00272367     16.261
                  -fipa-profile   0.969479   0.002727   0.972206    687.783  0.00290789    17.3608
               -fipa-pure-const   0.907326   0.002768   0.910094    734.723  0.00272212    16.2517
                -fipa-reference    1.20421   0.002816    1.20703    553.976  0.00361026    21.5541
              -fmerge-constants    0.90651   0.002734   0.909244     735.41  0.00271957    16.2365
         -fmove-loop-invariants   0.939106   0.002724    0.94183    709.965  0.00281704    16.8184
           -fomit-frame-pointer    1.22412   0.002645    1.22676    545.067  0.00366928    21.9064
               -freorder-blocks   0.907987   0.002766   0.910753    734.191  0.00272409    16.2634
                  -fshrink-wrap     1.2051   0.002732    1.20783    553.611  0.00361265    21.5684
         -fshrink-wrap-separate   0.906495   0.002749   0.909244     735.41  0.00271957    16.2365
             -fsplit-wide-types   0.910758   0.002718   0.913476    732.002  0.00273223    16.3121
                 -fssa-backprop   0.905941   0.002754   0.908695    735.854  0.00271793    16.2267
                   -fssa-phiopt   0.906368   0.002746   0.909114    735.515  0.00271918    16.2342
                 -ftree-bit-ccp   0.920716   0.002769   0.923485    724.069  0.00276217    16.4908
                     -ftree-ccp   0.908175   0.002862   0.911037    733.962  0.00272494    16.2685
                      -ftree-ch   0.906134   0.002741   0.908875    735.708  0.00271847    16.2299
           -ftree-coalesce-vars    1.21773   0.002786    1.22052    547.854  0.00365061     21.795
               -ftree-copy-prop   0.935995   0.002736   0.938731    712.309  0.00280777    16.7631
                     -ftree-dce   0.906737   0.002726   0.909463    735.232  0.00272023    16.2404
          -ftree-dominator-opts   0.971746   0.002738   0.974484    686.175  0.00291471    17.4015
                     -ftree-dse   0.938217   0.002749   0.940966    710.617  0.00281445     16.803
                -ftree-forwprop   0.955753   0.002725   0.958478    697.634  0.00286683    17.1157
                     -ftree-fre   0.906829   0.002717   0.909546    735.165  0.00272048    16.2419
                 -ftree-phiprop   0.907322   0.002739   0.910061    734.749  0.00272202    16.2511
                     -ftree-pta    1.20415   0.002734    1.20688    554.046  0.00360981    21.5514
              -ftree-scev-cprop   0.906044     0.0027   0.908744    735.814  0.00271808    16.2276
                    -ftree-sink   0.910379   0.002753   0.913132    732.278  0.0027312    16.3059
                    -ftree-slsr   0.972877   0.002755   0.975632    685.368  0.00291814     17.422
                     -ftree-sra   0.957025   0.002723   0.959748    696.711  0.00287063    17.1384
                     -ftree-ter   0.954805   0.002893   0.957698    698.202  0.0028645    17.1017
                 -fauto-inc-dec    1.21092   0.002912    1.21383    550.872  0.00363061    21.6756
             -fbranch-count-reg    0.90846   0.002769   0.911229    733.808  0.00272551    16.2719
    -fcombine-stack-adjustments    1.20567   0.002763    1.20844    553.333  0.00361446    21.5792
                 -fcompare-elim   0.922557   0.002716   0.925273     722.67  0.00276752    16.5227
              -fcprop-registers    1.20424   0.002758      1.207    553.993  0.00361015    21.5535
                          -fdce    1.20394   0.002734    1.20668    554.138  0.00360921    21.5478
                    -fdefer-pop   0.907752   0.002708    0.91046    734.427  0.00272321    16.2582
