OptimisationFactor                Numberlines
-faggressive-loop-optimizations  0
   -fasynchronous-unwind-tables  0
                 -fauto-inc-dec  0
             -fbranch-count-reg  0
   -fchkp-check-incomplete-type  0
              -fchkp-check-read  0
             -fchkp-check-write  0
        -fchkp-instrument-calls  0
           -fchkp-narrow-bounds  0
                -fchkp-optimize  0
            -fchkp-store-bounds  0
       -fchkp-use-static-bounds  0
 -fchkp-use-static-const-bounds  0
            -fchkp-use-wrappers  0
    -fcombine-stack-adjustments  0
                       -fcommon  0
                 -fcompare-elim  0
              -fcprop-registers  0
                    -fdefer-pop  0
   -fdelete-null-pointer-checks  0
               -fdwarf2-cfi-asm  0
               -fearly-inlining  0
 -feliminate-unused-debug-types  0
                   -fexceptions  0
            -fforward-propagate  0
       -ffp-int-builtin-inexact  0
                 -ffunction-cse  0
                      -fgcse-lm  0
                   -fgnu-unique  0
     -fguess-branch-probability  0
                        -fident  0
                -fif-conversion  0
               -fif-conversion2  0
                       -finline  0
               -finline-atomics  0
 -finline-functions-called-once  0
                  -fipa-profile  0
               -fipa-pure-const  0
                -fipa-reference  0
           -fira-hoist-pressure  0
         -fira-share-save-slots  0
        -fira-share-spill-slots  0
                       -fivopts  0
           -fkeep-static-consts  0
           -fleading-underscore  170
                 -flifetime-dse  0
         -flto-odr-type-merging  0
                   -fmath-errno  0
              -fmerge-constants  9
          -fmerge-debug-strings  0
         -fmove-loop-invariants  0
           -fomit-frame-pointer  902
                     -fpeephole  0
                          -fplt  0
         -fprefetch-loop-arrays  0
            -freg-struct-return  0
               -freorder-blocks  0
-fsched-critical-path-heuristic  0
    -fsched-dep-count-heuristic  0
        -fsched-group-heuristic  0
             -fsched-interblock  0
    -fsched-last-insn-heuristic  0
         -fsched-rank-heuristic  0
                   -fsched-spec  0
    -fsched-spec-insn-heuristic  0
      -fsched-stalled-insns-dep  0
              -fschedule-fusion  0
       -fsemantic-interposition  0
                  -fshow-column  0
                  -fshrink-wrap  252
         -fshrink-wrap-separate  0
                 -fsigned-zeros  0
        -fsplit-ivs-in-unroller  0
             -fsplit-wide-types  0
                 -fssa-backprop  0
                   -fssa-phiopt  0
                   -fstdarg-opt  0
    -fstrict-volatile-bitfields  0
                -fsync-libcalls  0
             -ftoplevel-reorder  1866
                -ftrapping-math  0
                 -ftree-bit-ccp  0
        -ftree-builtin-call-dce  0
                     -ftree-ccp  0
                      -ftree-ch  0
           -ftree-coalesce-vars  461
               -ftree-copy-prop  0
                  -ftree-cselim  0
                     -ftree-dce  0
          -ftree-dominator-opts  0
                     -ftree-dse  0
                -ftree-forwprop  0
                     -ftree-fre  0
         -ftree-loop-if-convert  0
                 -ftree-loop-im  0
            -ftree-loop-ivcanon  0
           -ftree-loop-optimize  0
     -ftree-parallelize-loops=4  0
                 -ftree-phiprop  0
                     -ftree-pta  0
                 -ftree-reassoc  0
              -ftree-scev-cprop  0
                    -ftree-sink  0
                    -ftree-slsr  0
                     -ftree-sra  0
                     -ftree-ter  155
               -funit-at-a-time  0
                -funwind-tables  0
                  -fverbose-asm  2679
      -fzero-initialized-in-bss  0
           -m128bit-long-double  0
                           -m64  0
                        -m80387  0
              -malign-stringops  0
  -mavx256-split-unaligned-load  0
 -mavx256-split-unaligned-store  0
               -mfancy-math-387  0
                -mfp-ret-in-387  0
                         -mfxsr  0
                        -mglibc  0
                      -mieee-fp  0
               -mlong-double-80  0
                          -mmmx  0
                      -mno-sse4  0
                    -mpush-args  0
                     -mred-zone  0
                          -msse  0
                         -msse2  0
                          -mstv  0
          -mtls-direct-seg-refs  0
